upc,pid,categories,brand,description,country_of_origin,favorite,size,unit,gmo,organic,temperature,heat_sensitive,warnings,images
0001111063678,0001111063678,['Deli'],Private Selection,Private Selection® Parmesan Wedge Cheese,UNITED STATES,FALSE,8 oz,,CONTACT SUPPLIER FOR ADDITIONAL INFORMATION,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111063678', 'https://www.kroger.com/product/images/large/front/0001111063678', 'https://www.kroger.com/product/images/medium/front/0001111063678', 'https://www.kroger.com/product/images/small/front/0001111063678', 'https://www.kroger.com/product/images/thumbnail/front/0001111063678', 'https://www.kroger.com/product/images/xlarge/back/0001111063678', 'https://www.kroger.com/product/images/large/back/0001111063678', 'https://www.kroger.com/product/images/medium/back/0001111063678', 'https://www.kroger.com/product/images/small/back/0001111063678', 'https://www.kroger.com/product/images/thumbnail/back/0001111063678']"
0001111046070,0001111046070,['Dairy'],Kroger,Kroger® Original Sour Cream,UNITED STATES,FALSE,16 oz,,NO NON-GMO CLAIM,NO,Refrigerated,FALSE,"KEEP REFRIGERATED
CONTAINS A BIOENGINEERED FOOD INGREDIENT","['https://www.kroger.com/product/images/xlarge/front/0001111046070', 'https://www.kroger.com/product/images/large/front/0001111046070', 'https://www.kroger.com/product/images/medium/front/0001111046070', 'https://www.kroger.com/product/images/small/front/0001111046070', 'https://www.kroger.com/product/images/thumbnail/front/0001111046070', 'https://www.kroger.com/product/images/xlarge/back/0001111046070', 'https://www.kroger.com/product/images/large/back/0001111046070', 'https://www.kroger.com/product/images/medium/back/0001111046070', 'https://www.kroger.com/product/images/small/back/0001111046070', 'https://www.kroger.com/product/images/thumbnail/back/0001111046070', 'https://www.kroger.com/product/images/xlarge/right/0001111046070', 'https://www.kroger.com/product/images/large/right/0001111046070', 'https://www.kroger.com/product/images/medium/right/0001111046070', 'https://www.kroger.com/product/images/small/right/0001111046070', 'https://www.kroger.com/product/images/thumbnail/right/0001111046070', 'https://www.kroger.com/product/images/xlarge/left/0001111046070', 'https://www.kroger.com/product/images/large/left/0001111046070', 'https://www.kroger.com/product/images/medium/left/0001111046070', 'https://www.kroger.com/product/images/small/left/0001111046070', 'https://www.kroger.com/product/images/thumbnail/left/0001111046070']"
0001111061376,0001111061376,"['Produce', 'Produce', 'Produce']",Kroger,Kroger® Fresh Seedless Red Grapes in Clamshell,UNITED STATES,FALSE,3 lb,,PRODUCT LABELED WITH NON-GMO CLAIM,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111061376', 'https://www.kroger.com/product/images/large/front/0001111061376', 'https://www.kroger.com/product/images/medium/front/0001111061376', 'https://www.kroger.com/product/images/small/front/0001111061376', 'https://www.kroger.com/product/images/thumbnail/front/0001111061376']"
0001111061375,0001111061375,"['Produce', 'Produce', 'Produce']",,Kroger® Fresh Seedless Green White Grapes in Clamshell,UNITED STATES,FALSE,3 lb,,PRODUCT LABELED WITH NON-GMO CLAIM,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111061375', 'https://www.kroger.com/product/images/large/front/0001111061375', 'https://www.kroger.com/product/images/medium/front/0001111061375', 'https://www.kroger.com/product/images/small/front/0001111061375', 'https://www.kroger.com/product/images/thumbnail/front/0001111061375']"
0001111027011,0001111027011,['Bakery'],Bakery Fresh,Bakery Fresh 8-Inch Apple Pie,UNITED STATES,FALSE,22.5 oz,,NO NON-GMO CLAIM,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/left/0001111027011', 'https://www.kroger.com/product/images/large/left/0001111027011', 'https://www.kroger.com/product/images/medium/left/0001111027011', 'https://www.kroger.com/product/images/small/left/0001111027011', 'https://www.kroger.com/product/images/thumbnail/left/0001111027011', 'https://www.kroger.com/product/images/xlarge/front/0001111027011', 'https://www.kroger.com/product/images/large/front/0001111027011', 'https://www.kroger.com/product/images/medium/front/0001111027011', 'https://www.kroger.com/product/images/small/front/0001111027011', 'https://www.kroger.com/product/images/thumbnail/front/0001111027011', 'https://www.kroger.com/product/images/xlarge/back/0001111027011', 'https://www.kroger.com/product/images/large/back/0001111027011', 'https://www.kroger.com/product/images/medium/back/0001111027011', 'https://www.kroger.com/product/images/small/back/0001111027011', 'https://www.kroger.com/product/images/thumbnail/back/0001111027011']"
0001111096920,0001111096920,"['Meat & Seafood', 'Natural & Organic']",Kroger,Kroger® 93/7 Ground Beef Tray 1 LB,UNITED STATES,FALSE,1 lb,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/right/0001111096920', 'https://www.kroger.com/product/images/large/right/0001111096920', 'https://www.kroger.com/product/images/medium/right/0001111096920', 'https://www.kroger.com/product/images/small/right/0001111096920', 'https://www.kroger.com/product/images/thumbnail/right/0001111096920', 'https://www.kroger.com/product/images/xlarge/front/0001111096920', 'https://www.kroger.com/product/images/large/front/0001111096920', 'https://www.kroger.com/product/images/medium/front/0001111096920', 'https://www.kroger.com/product/images/small/front/0001111096920', 'https://www.kroger.com/product/images/thumbnail/front/0001111096920', 'https://www.kroger.com/product/images/xlarge/back/0001111096920', 'https://www.kroger.com/product/images/large/back/0001111096920', 'https://www.kroger.com/product/images/medium/back/0001111096920', 'https://www.kroger.com/product/images/small/back/0001111096920', 'https://www.kroger.com/product/images/thumbnail/back/0001111096920', 'https://www.kroger.com/product/images/xlarge/top/0001111096920', 'https://www.kroger.com/product/images/large/top/0001111096920', 'https://www.kroger.com/product/images/medium/top/0001111096920', 'https://www.kroger.com/product/images/small/top/0001111096920', 'https://www.kroger.com/product/images/thumbnail/top/0001111096920', 'https://www.kroger.com/product/images/xlarge/left/0001111096920', 'https://www.kroger.com/product/images/large/left/0001111096920', 'https://www.kroger.com/product/images/medium/left/0001111096920', 'https://www.kroger.com/product/images/small/left/0001111096920', 'https://www.kroger.com/product/images/thumbnail/left/0001111096920']"
0001111099837,0001111099837,"['Deli', 'Deli']",Private Selection,Private Selection® Pepperoni Deli Sliced,UNITED STATES,FALSE,5 oz,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111099837', 'https://www.kroger.com/product/images/large/front/0001111099837', 'https://www.kroger.com/product/images/medium/front/0001111099837', 'https://www.kroger.com/product/images/small/front/0001111099837', 'https://www.kroger.com/product/images/thumbnail/front/0001111099837', 'https://www.kroger.com/product/images/xlarge/back/0001111099837', 'https://www.kroger.com/product/images/large/back/0001111099837', 'https://www.kroger.com/product/images/medium/back/0001111099837', 'https://www.kroger.com/product/images/small/back/0001111099837', 'https://www.kroger.com/product/images/thumbnail/back/0001111099837', 'https://www.kroger.com/product/images/xlarge/right/0001111099837', 'https://www.kroger.com/product/images/large/right/0001111099837', 'https://www.kroger.com/product/images/medium/right/0001111099837', 'https://www.kroger.com/product/images/small/right/0001111099837', 'https://www.kroger.com/product/images/thumbnail/right/0001111099837', 'https://www.kroger.com/product/images/xlarge/left/0001111099837', 'https://www.kroger.com/product/images/large/left/0001111099837', 'https://www.kroger.com/product/images/medium/left/0001111099837', 'https://www.kroger.com/product/images/small/left/0001111099837', 'https://www.kroger.com/product/images/thumbnail/left/0001111099837']"
0001111096968,0001111096968,"['Meat & Seafood', 'Natural & Organic']",Kroger,Kroger® 85/15 Ground Beef Tray 1 LB,UNITED STATES,FALSE,1 lb,,,NO,Refrigerated,FALSE,Sealed for freshness.,"['https://www.kroger.com/product/images/xlarge/back/0001111096968', 'https://www.kroger.com/product/images/large/back/0001111096968', 'https://www.kroger.com/product/images/medium/back/0001111096968', 'https://www.kroger.com/product/images/small/back/0001111096968', 'https://www.kroger.com/product/images/thumbnail/back/0001111096968', 'https://www.kroger.com/product/images/xlarge/front/0001111096968', 'https://www.kroger.com/product/images/large/front/0001111096968', 'https://www.kroger.com/product/images/medium/front/0001111096968', 'https://www.kroger.com/product/images/small/front/0001111096968', 'https://www.kroger.com/product/images/thumbnail/front/0001111096968', 'https://www.kroger.com/product/images/xlarge/right/0001111096968', 'https://www.kroger.com/product/images/large/right/0001111096968', 'https://www.kroger.com/product/images/medium/right/0001111096968', 'https://www.kroger.com/product/images/small/right/0001111096968', 'https://www.kroger.com/product/images/thumbnail/right/0001111096968', 'https://www.kroger.com/product/images/xlarge/top/0001111096968', 'https://www.kroger.com/product/images/large/top/0001111096968', 'https://www.kroger.com/product/images/medium/top/0001111096968', 'https://www.kroger.com/product/images/small/top/0001111096968', 'https://www.kroger.com/product/images/thumbnail/top/0001111096968', 'https://www.kroger.com/product/images/xlarge/left/0001111096968', 'https://www.kroger.com/product/images/large/left/0001111096968', 'https://www.kroger.com/product/images/medium/left/0001111096968', 'https://www.kroger.com/product/images/small/left/0001111096968', 'https://www.kroger.com/product/images/thumbnail/left/0001111096968']"
0001111091116,0001111091116,"['International', 'Produce']",,Kroger® Tri-Color Bell Peppers,MEXICO,FALSE,20 oz,,NO NON-GMO CLAIM,NO,Refrigerated,FALSE,none,"['https://www.kroger.com/product/images/xlarge/front/0001111091116', 'https://www.kroger.com/product/images/large/front/0001111091116', 'https://www.kroger.com/product/images/medium/front/0001111091116', 'https://www.kroger.com/product/images/small/front/0001111091116', 'https://www.kroger.com/product/images/thumbnail/front/0001111091116']"
0001111091871,0001111091871,"['Produce', 'Produce']",Fresh Potatoes,Kroger® Gold Potatoes,UNITED STATES,FALSE,5 lb,,NO NON-GMO CLAIM,NO,Ambient,FALSE,n/a,"['https://www.kroger.com/product/images/xlarge/front/0001111091871', 'https://www.kroger.com/product/images/large/front/0001111091871', 'https://www.kroger.com/product/images/medium/front/0001111091871', 'https://www.kroger.com/product/images/small/front/0001111091871', 'https://www.kroger.com/product/images/thumbnail/front/0001111091871']"
0001111091829,0001111091829,"['Produce', 'Produce']",,Kroger® Granny Smith Apples – 3 Pound Bag,UNITED STATES,FALSE,3 lb,,CONTACT SUPPLIER FOR ADDITIONAL INFORMATION,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111091829', 'https://www.kroger.com/product/images/large/front/0001111091829', 'https://www.kroger.com/product/images/medium/front/0001111091829', 'https://www.kroger.com/product/images/small/front/0001111091829', 'https://www.kroger.com/product/images/thumbnail/front/0001111091829']"
0001111091825,0001111091825,"['Produce', 'Produce', 'Produce']",,Kroger® Gala Apples – 3 Pound Bag,UNITED STATES,FALSE,3 lb,,NO NON-GMO CLAIM,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111091825', 'https://www.kroger.com/product/images/large/front/0001111091825', 'https://www.kroger.com/product/images/medium/front/0001111091825', 'https://www.kroger.com/product/images/small/front/0001111091825', 'https://www.kroger.com/product/images/thumbnail/front/0001111091825']"
0001111089875,0001111089875,"['Pasta, Sauces, Grain']",Kroger,Kroger® Enriched Long Grain White Rice,UNITED STATES,FALSE,32 oz,,NO NON-GMO CLAIM,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111089875', 'https://www.kroger.com/product/images/large/front/0001111089875', 'https://www.kroger.com/product/images/medium/front/0001111089875', 'https://www.kroger.com/product/images/small/front/0001111089875', 'https://www.kroger.com/product/images/thumbnail/front/0001111089875']"
0001411391002,0001411391002,['Snacks'],Wonderful,"Wonderful Pistachios, In Shell Roasted & Salted Nuts, 16 Ounce Bag",UNITED STATES,FALSE,16 oz,,PRODUCT LABELED WITH NON-GMO CLAIM,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001411391002', 'https://www.kroger.com/product/images/large/front/0001411391002', 'https://www.kroger.com/product/images/medium/front/0001411391002', 'https://www.kroger.com/product/images/small/front/0001411391002', 'https://www.kroger.com/product/images/thumbnail/front/0001411391002', 'https://www.kroger.com/product/images/xlarge/back/0001411391002', 'https://www.kroger.com/product/images/large/back/0001411391002', 'https://www.kroger.com/product/images/medium/back/0001411391002', 'https://www.kroger.com/product/images/small/back/0001411391002', 'https://www.kroger.com/product/images/thumbnail/back/0001411391002', 'https://www.kroger.com/product/images/xlarge/right/0001411391002', 'https://www.kroger.com/product/images/large/right/0001411391002', 'https://www.kroger.com/product/images/medium/right/0001411391002', 'https://www.kroger.com/product/images/small/right/0001411391002', 'https://www.kroger.com/product/images/thumbnail/right/0001411391002', 'https://www.kroger.com/product/images/xlarge/bottom/0001411391002', 'https://www.kroger.com/product/images/large/bottom/0001411391002', 'https://www.kroger.com/product/images/medium/bottom/0001411391002', 'https://www.kroger.com/product/images/small/bottom/0001411391002', 'https://www.kroger.com/product/images/thumbnail/bottom/0001411391002', 'https://www.kroger.com/product/images/xlarge/left/0001411391002', 'https://www.kroger.com/product/images/large/left/0001411391002', 'https://www.kroger.com/product/images/medium/left/0001411391002', 'https://www.kroger.com/product/images/small/left/0001411391002', 'https://www.kroger.com/product/images/thumbnail/left/0001411391002', 'https://www.kroger.com/product/images/xlarge/top/0001411391002', 'https://www.kroger.com/product/images/large/top/0001411391002', 'https://www.kroger.com/product/images/medium/top/0001411391002', 'https://www.kroger.com/product/images/small/top/0001411391002', 'https://www.kroger.com/product/images/thumbnail/top/0001411391002']"
0001111096959,0001111096959,"['Meat & Seafood', 'Natural & Organic']",Simple Truth,Simple Truth® 93/7 Natural Ground Turkey Tray 1 LB,UNITED STATES,FALSE,1 lb,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/right/0001111096959', 'https://www.kroger.com/product/images/large/right/0001111096959', 'https://www.kroger.com/product/images/medium/right/0001111096959', 'https://www.kroger.com/product/images/small/right/0001111096959', 'https://www.kroger.com/product/images/thumbnail/right/0001111096959', 'https://www.kroger.com/product/images/xlarge/front/0001111096959', 'https://www.kroger.com/product/images/large/front/0001111096959', 'https://www.kroger.com/product/images/medium/front/0001111096959', 'https://www.kroger.com/product/images/small/front/0001111096959', 'https://www.kroger.com/product/images/thumbnail/front/0001111096959', 'https://www.kroger.com/product/images/xlarge/back/0001111096959', 'https://www.kroger.com/product/images/large/back/0001111096959', 'https://www.kroger.com/product/images/medium/back/0001111096959', 'https://www.kroger.com/product/images/small/back/0001111096959', 'https://www.kroger.com/product/images/thumbnail/back/0001111096959', 'https://www.kroger.com/product/images/xlarge/left/0001111096959', 'https://www.kroger.com/product/images/large/left/0001111096959', 'https://www.kroger.com/product/images/medium/left/0001111096959', 'https://www.kroger.com/product/images/small/left/0001111096959', 'https://www.kroger.com/product/images/thumbnail/left/0001111096959', 'https://www.kroger.com/product/images/xlarge/top/0001111096959', 'https://www.kroger.com/product/images/large/top/0001111096959', 'https://www.kroger.com/product/images/medium/top/0001111096959', 'https://www.kroger.com/product/images/small/top/0001111096959', 'https://www.kroger.com/product/images/thumbnail/top/0001111096959']"
0001200080994,0001200080994,['Beverages'],Pepsi,Pepsi Cola Soda Pop,UNITED STATES,FALSE,12 ct / 12 fl oz,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001200080994', 'https://www.kroger.com/product/images/large/front/0001200080994', 'https://www.kroger.com/product/images/medium/front/0001200080994', 'https://www.kroger.com/product/images/small/front/0001200080994', 'https://www.kroger.com/product/images/thumbnail/front/0001200080994', 'https://www.kroger.com/product/images/xlarge/right/0001200080994', 'https://www.kroger.com/product/images/large/right/0001200080994', 'https://www.kroger.com/product/images/medium/right/0001200080994', 'https://www.kroger.com/product/images/small/right/0001200080994', 'https://www.kroger.com/product/images/thumbnail/right/0001200080994', 'https://www.kroger.com/product/images/xlarge/back/0001200080994', 'https://www.kroger.com/product/images/large/back/0001200080994', 'https://www.kroger.com/product/images/medium/back/0001200080994', 'https://www.kroger.com/product/images/small/back/0001200080994', 'https://www.kroger.com/product/images/thumbnail/back/0001200080994', 'https://www.kroger.com/product/images/xlarge/bottom/0001200080994', 'https://www.kroger.com/product/images/large/bottom/0001200080994', 'https://www.kroger.com/product/images/medium/bottom/0001200080994', 'https://www.kroger.com/product/images/small/bottom/0001200080994', 'https://www.kroger.com/product/images/thumbnail/bottom/0001200080994', 'https://www.kroger.com/product/images/xlarge/top/0001200080994', 'https://www.kroger.com/product/images/large/top/0001200080994', 'https://www.kroger.com/product/images/medium/top/0001200080994', 'https://www.kroger.com/product/images/small/top/0001200080994', 'https://www.kroger.com/product/images/thumbnail/top/0001200080994', 'https://www.kroger.com/product/images/xlarge/left/0001200080994', 'https://www.kroger.com/product/images/large/left/0001200080994', 'https://www.kroger.com/product/images/medium/left/0001200080994', 'https://www.kroger.com/product/images/small/left/0001200080994', 'https://www.kroger.com/product/images/thumbnail/left/0001200080994']"
0001330028064,0001330028064,['Breakfast'],Hungry Jack,"Hungry Jack Complete Buttermilk Pancake Mix and Waffle Mix, 32 Oz Box",UNITED STATES,FALSE,32 oz,,,NO,Ambient,FALSE,Warning: Do not eat raw batter. Please cook fully before enjoying.,"['https://www.kroger.com/product/images/xlarge/back/0001330028064', 'https://www.kroger.com/product/images/large/back/0001330028064', 'https://www.kroger.com/product/images/medium/back/0001330028064', 'https://www.kroger.com/product/images/small/back/0001330028064', 'https://www.kroger.com/product/images/thumbnail/back/0001330028064', 'https://www.kroger.com/product/images/xlarge/right/0001330028064', 'https://www.kroger.com/product/images/large/right/0001330028064', 'https://www.kroger.com/product/images/medium/right/0001330028064', 'https://www.kroger.com/product/images/small/right/0001330028064', 'https://www.kroger.com/product/images/thumbnail/right/0001330028064', 'https://www.kroger.com/product/images/xlarge/front/0001330028064', 'https://www.kroger.com/product/images/large/front/0001330028064', 'https://www.kroger.com/product/images/medium/front/0001330028064', 'https://www.kroger.com/product/images/small/front/0001330028064', 'https://www.kroger.com/product/images/thumbnail/front/0001330028064', 'https://www.kroger.com/product/images/xlarge/bottom/0001330028064', 'https://www.kroger.com/product/images/large/bottom/0001330028064', 'https://www.kroger.com/product/images/medium/bottom/0001330028064', 'https://www.kroger.com/product/images/small/bottom/0001330028064', 'https://www.kroger.com/product/images/thumbnail/bottom/0001330028064', 'https://www.kroger.com/product/images/xlarge/top/0001330028064', 'https://www.kroger.com/product/images/large/top/0001330028064', 'https://www.kroger.com/product/images/medium/top/0001330028064', 'https://www.kroger.com/product/images/small/top/0001330028064', 'https://www.kroger.com/product/images/thumbnail/top/0001330028064', 'https://www.kroger.com/product/images/xlarge/left/0001330028064', 'https://www.kroger.com/product/images/large/left/0001330028064', 'https://www.kroger.com/product/images/medium/left/0001330028064', 'https://www.kroger.com/product/images/small/left/0001330028064', 'https://www.kroger.com/product/images/thumbnail/left/0001330028064']"
0001111096874,0001111096874,"['Meat & Seafood', 'Natural & Organic']",Kroger,Kroger® 93/7 Lean Fresh Ground Turkey - 1 LB,UNITED STATES,FALSE,1 lb,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111096874', 'https://www.kroger.com/product/images/large/front/0001111096874', 'https://www.kroger.com/product/images/medium/front/0001111096874', 'https://www.kroger.com/product/images/small/front/0001111096874', 'https://www.kroger.com/product/images/thumbnail/front/0001111096874', 'https://www.kroger.com/product/images/xlarge/right/0001111096874', 'https://www.kroger.com/product/images/large/right/0001111096874', 'https://www.kroger.com/product/images/medium/right/0001111096874', 'https://www.kroger.com/product/images/small/right/0001111096874', 'https://www.kroger.com/product/images/thumbnail/right/0001111096874', 'https://www.kroger.com/product/images/xlarge/back/0001111096874', 'https://www.kroger.com/product/images/large/back/0001111096874', 'https://www.kroger.com/product/images/medium/back/0001111096874', 'https://www.kroger.com/product/images/small/back/0001111096874', 'https://www.kroger.com/product/images/thumbnail/back/0001111096874', 'https://www.kroger.com/product/images/xlarge/left/0001111096874', 'https://www.kroger.com/product/images/large/left/0001111096874', 'https://www.kroger.com/product/images/medium/left/0001111096874', 'https://www.kroger.com/product/images/small/left/0001111096874', 'https://www.kroger.com/product/images/thumbnail/left/0001111096874', 'https://www.kroger.com/product/images/xlarge/top/0001111096874', 'https://www.kroger.com/product/images/large/top/0001111096874', 'https://www.kroger.com/product/images/medium/top/0001111096874', 'https://www.kroger.com/product/images/small/top/0001111096874', 'https://www.kroger.com/product/images/thumbnail/top/0001111096874']"
0001111096316,0001111096316,['Meat & Seafood'],Private Selection,Private Selection® Farm Raised Norwegianˆ Atlantic Salmon Pre-Sliced Cold Smoked Traditional,NETHERLANDS,FALSE,4 ounces,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/back/0001111096316', 'https://www.kroger.com/product/images/large/back/0001111096316', 'https://www.kroger.com/product/images/medium/back/0001111096316', 'https://www.kroger.com/product/images/small/back/0001111096316', 'https://www.kroger.com/product/images/thumbnail/back/0001111096316', 'https://www.kroger.com/product/images/xlarge/front/0001111096316', 'https://www.kroger.com/product/images/large/front/0001111096316', 'https://www.kroger.com/product/images/medium/front/0001111096316', 'https://www.kroger.com/product/images/small/front/0001111096316', 'https://www.kroger.com/product/images/thumbnail/front/0001111096316', 'https://www.kroger.com/product/images/xlarge/right/0001111096316', 'https://www.kroger.com/product/images/large/right/0001111096316', 'https://www.kroger.com/product/images/medium/right/0001111096316', 'https://www.kroger.com/product/images/small/right/0001111096316', 'https://www.kroger.com/product/images/thumbnail/right/0001111096316', 'https://www.kroger.com/product/images/xlarge/left/0001111096316', 'https://www.kroger.com/product/images/large/left/0001111096316', 'https://www.kroger.com/product/images/medium/left/0001111096316', 'https://www.kroger.com/product/images/small/left/0001111096316', 'https://www.kroger.com/product/images/thumbnail/left/0001111096316']"
0001111098013,0001111098013,['Meat & Seafood'],Kroger,Kroger® Crab Dip Traditional,UNITED STATES,FALSE,7.5 ounces,,,NO,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111098013', 'https://www.kroger.com/product/images/large/front/0001111098013', 'https://www.kroger.com/product/images/medium/front/0001111098013', 'https://www.kroger.com/product/images/small/front/0001111098013', 'https://www.kroger.com/product/images/thumbnail/front/0001111098013']"
0001111091500,0001111091500,"['Natural & Organic', 'Produce']",Simple Truth Organic,Simple Truth Organic® Whole White Mushrooms,CANADA,FALSE,8 oz,,PRODUCT LABELED WITH NON-GMO CLAIM,ORGANIC CLAIM AND PRINTED ON PACKAGE,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111091500', 'https://www.kroger.com/product/images/large/front/0001111091500', 'https://www.kroger.com/product/images/medium/front/0001111091500', 'https://www.kroger.com/product/images/small/front/0001111091500', 'https://www.kroger.com/product/images/thumbnail/front/0001111091500']"
0001111091620,0001111091620,['Produce'],,Kroger® Peeled Baby Carrots Bag,UNITED STATES,FALSE,16 oz,,,NO,Refrigerated,FALSE,NONE,"['https://www.kroger.com/product/images/large/front/0001111091620', 'https://www.kroger.com/product/images/medium/front/0001111091620', 'https://www.kroger.com/product/images/small/front/0001111091620', 'https://www.kroger.com/product/images/thumbnail/front/0001111091620']"
0001111091189,0001111091189,['Produce'],Fresh Citrus,Kroger® Fresh Limes Bag,MEXICO,FALSE,2 lb,,NO NON-GMO CLAIM,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001111091189', 'https://www.kroger.com/product/images/large/front/0001111091189', 'https://www.kroger.com/product/images/medium/front/0001111091189', 'https://www.kroger.com/product/images/small/front/0001111091189', 'https://www.kroger.com/product/images/thumbnail/front/0001111091189']"
0001300000640,0001300000640,['Condiment & Sauces'],Heinz,Heinz Tomato Ketchup,UNITED STATES,FALSE,20 oz,,,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/front/0001300000640', 'https://www.kroger.com/product/images/large/front/0001300000640', 'https://www.kroger.com/product/images/medium/front/0001300000640', 'https://www.kroger.com/product/images/small/front/0001300000640', 'https://www.kroger.com/product/images/thumbnail/front/0001300000640', 'https://www.kroger.com/product/images/xlarge/right/0001300000640', 'https://www.kroger.com/product/images/large/right/0001300000640', 'https://www.kroger.com/product/images/medium/right/0001300000640', 'https://www.kroger.com/product/images/small/right/0001300000640', 'https://www.kroger.com/product/images/thumbnail/right/0001300000640', 'https://www.kroger.com/product/images/xlarge/bottom/0001300000640', 'https://www.kroger.com/product/images/large/bottom/0001300000640', 'https://www.kroger.com/product/images/medium/bottom/0001300000640', 'https://www.kroger.com/product/images/small/bottom/0001300000640', 'https://www.kroger.com/product/images/thumbnail/bottom/0001300000640', 'https://www.kroger.com/product/images/xlarge/left/0001300000640', 'https://www.kroger.com/product/images/large/left/0001300000640', 'https://www.kroger.com/product/images/medium/left/0001300000640', 'https://www.kroger.com/product/images/small/left/0001300000640', 'https://www.kroger.com/product/images/thumbnail/left/0001300000640', 'https://www.kroger.com/product/images/xlarge/top/0001300000640', 'https://www.kroger.com/product/images/large/top/0001300000640', 'https://www.kroger.com/product/images/medium/top/0001300000640', 'https://www.kroger.com/product/images/small/top/0001300000640', 'https://www.kroger.com/product/images/thumbnail/top/0001300000640']"
0001111091188,0001111091188,"['Produce', 'Produce']",Fresh Citrus,Kroger® Fresh Lemons Bag,UNITED STATES,FALSE,2 lb,,NO NON-GMO CLAIM,NO,Ambient,FALSE,,"['https://www.kroger.com/product/images/xlarge/right/0001111091188', 'https://www.kroger.com/product/images/large/right/0001111091188', 'https://www.kroger.com/product/images/medium/right/0001111091188', 'https://www.kroger.com/product/images/small/right/0001111091188', 'https://www.kroger.com/product/images/thumbnail/right/0001111091188', 'https://www.kroger.com/product/images/xlarge/back/0001111091188', 'https://www.kroger.com/product/images/large/back/0001111091188', 'https://www.kroger.com/product/images/medium/back/0001111091188', 'https://www.kroger.com/product/images/small/back/0001111091188', 'https://www.kroger.com/product/images/thumbnail/back/0001111091188', 'https://www.kroger.com/product/images/xlarge/front/0001111091188', 'https://www.kroger.com/product/images/large/front/0001111091188', 'https://www.kroger.com/product/images/medium/front/0001111091188', 'https://www.kroger.com/product/images/small/front/0001111091188', 'https://www.kroger.com/product/images/thumbnail/front/0001111091188', 'https://www.kroger.com/product/images/xlarge/left/0001111091188', 'https://www.kroger.com/product/images/large/left/0001111091188', 'https://www.kroger.com/product/images/medium/left/0001111091188', 'https://www.kroger.com/product/images/small/left/0001111091188', 'https://www.kroger.com/product/images/thumbnail/left/0001111091188', 'https://www.kroger.com/product/images/xlarge/top/0001111091188', 'https://www.kroger.com/product/images/large/top/0001111091188', 'https://www.kroger.com/product/images/medium/top/0001111091188', 'https://www.kroger.com/product/images/small/top/0001111091188', 'https://www.kroger.com/product/images/thumbnail/top/0001111091188']"
0001111090010,0001111090010,"['International', 'Produce']",Simple Truth Organic,Simple Truth Organic™ Mixed Bell Peppers,MEXICO,FALSE,2 ct,,CONTACT SUPPLIER FOR ADDITIONAL INFORMATION,ORGANIC CLAIM AND PRINTED ON PACKAGE,Refrigerated,FALSE,,"['https://www.kroger.com/product/images/xlarge/back/0001111090010', 'https://www.kroger.com/product/images/large/back/0001111090010', 'https://www.kroger.com/product/images/medium/back/0001111090010', 'https://www.kroger.com/product/images/small/back/0001111090010', 'https://www.kroger.com/product/images/thumbnail/back/0001111090010', 'https://www.kroger.com/product/images/xlarge/front/0001111090010', 'https://www.kroger.com/product/images/large/front/0001111090010', 'https://www.kroger.com/product/images/medium/front/0001111090010', 'https://www.kroger.com/product/images/small/front/0001111090010', 'https://www.kroger.com/product/images/thumbnail/front/0001111090010']"
